thread_id,iteration,period_ns,scheduled_ns,actual_ns,jitter_ns,work_ns,deadline_missed
1,1,10000000,594625351902,594625424527,72625,1000292,0
1,2,10000000,594635351902,594635400194,48292,1000250,0
1,3,10000000,594645351902,594645406611,54709,1000875,0
1,4,10000000,594655351902,594655389152,37250,1001208,0
1,5,10000000,594665351902,594665394777,42875,1000833,0
1,6,10000000,594675351902,594675397444,45542,1000875,0
1,7,10000000,594685351902,594685396402,44500,1000875,0
1,8,10000000,594695351902,594695392402,40500,1000500,0
1,9,10000000,594705351902,594705388527,36625,1000000,0
1,10,10000000,594715351902,594715391402,39500,1001000,0
1,11,10000000,594725351902,594725376069,24167,1000541,0
1,12,10000000,594735351902,594735393527,41625,1000750,0
1,13,10000000,594745351902,594745396861,44959,1000875,0
1,14,10000000,594755351902,594755488694,136792,1000416,0
1,15,10000000,594765351902,594765391402,39500,1000625,0
1,16,10000000,594775351902,594775392527,40625,1000833,0
1,17,10000000,594785351902,594785387277,35375,1000625,0
1,18,10000000,594795351902,594795389069,37167,1000209,0
1,19,10000000,594805351902,594805394611,42709,1000833,0
1,20,10000000,594815351902,594815389652,37750,1000542,0
1,21,10000000,594825351902,594825376444,24542,1000750,0
1,22,10000000,594835351902,594835395111,43209,1000500,0
1,23,10000000,594845351902,594845389277,37375,1000959,0
1,24,10000000,594855351902,594855389652,37750,1000208,0
1,25,10000000,594865351902,594865395194,43292,1001417,0
1,26,10000000,594875351902,594875389652,37750,1001375,0
1,27,10000000,594885351902,594885390236,38334,1000625,0
1,28,10000000,594895351902,594895392652,40750,1000458,0
1,29,10000000,594905351902,594905393194,41292,1000833,0
1,30,10000000,594915351902,594915391527,39625,1001000,0
1,31,10000000,594925351902,594925376277,24375,1000583,0
1,32,10000000,594935351902,594935390319,38417,1000833,0
1,33,10000000,594945351902,594945387527,35625,1000583,0
1,34,10000000,594955351902,594955393194,41292,1000917,0
1,35,10000000,594965351902,594965482861,130959,1000708,0
1,36,10000000,594975351902,594975405611,53709,1000417,0
1,37,10000000,594985351902,594985394194,42292,1000666,0
1,38,10000000,594995351902,594995396569,44667,1001042,0
1,39,10000000,595005351902,595005383277,31375,1000541,0
1,40,10000000,595015351902,595015391027,39125,1000709,0
1,41,10000000,595025351902,595025379152,27250,1000250,0
1,42,10000000,595035351902,595035396819,44917,1000292,0
1,43,10000000,595045351902,595045388861,36959,1000250,0
1,44,10000000,595055351902,595055392652,40750,1000750,0
1,45,10000000,595065351902,595065380694,28792,1000625,0
1,46,10000000,595075351902,595075386361,34459,1000000,0
1,47,10000000,595085351902,595085391444,39542,1000250,0
1,48,10000000,595095351902,595095387486,35584,1000625,0
1,49,10000000,595105351902,595105388861,36959,1000250,0
1,50,10000000,595115351902,595115387777,35875,1001250,0
1,51,10000000,595125351902,595125377027,25125,1000250,0
1,52,10000000,595135351902,595135392569,40667,1000042,0
1,53,10000000,595145351902,595145393486,41584,1000250,0
1,54,10000000,595155351902,595155386194,34292,1001417,0
1,55,10000000,595165351902,595165387569,35667,1001292,0
1,56,10000000,595175351902,595175386902,35000,1000084,0
1,57,10000000,595185351902,595185395152,43250,1000958,0
1,58,10000000,595195351902,595195386444,34542,1000459,0
1,59,10000000,595205351902,595205395444,43542,1000666,0
1,60,10000000,595215351902,595215392069,40167,1000875,0
1,61,10000000,595225351902,595225376902,25000,1000208,0
1,62,10000000,595235351902,595235389694,37792,1000042,0
1,63,10000000,595245351902,595245389736,37834,1000833,0
1,64,10000000,595255351902,595255386777,34875,1000917,0
1,65,10000000,595265351902,595265398944,47042,1000667,0
1,66,10000000,595275351902,595275388611,36709,1000833,0
1,67,10000000,595285351902,595285396027,44125,1000667,0
1,68,10000000,595295351902,595295387069,35167,1000416,0
1,69,10000000,595305351902,595305394652,42750,1000875,0
1,70,10000000,595315351902,595315388194,36292,1001375,0
1,71,10000000,595325351902,595325379361,27459,1000542,0
1,72,10000000,595335351902,595335393069,41167,1001459,0
1,73,10000000,595345351902,595345390402,38500,1000708,0
1,74,10000000,595355351902,595355388486,36584,1000709,0
1,75,10000000,595365351902,595365391902,40000,1000583,0
1,76,10000000,595375351902,595375386111,34209,1000208,0
1,77,10000000,595385351902,595385385486,33584,1000625,0
1,78,10000000,595395351902,595395391861,39959,1000042,0
1,79,10000000,595405351902,595405396402,44500,1000583,0
1,80,10000000,595415351902,595415385986,34084,1001291,0
1,81,10000000,595425351902,595425377652,25750,1000583,0
1,82,10000000,595435351902,595435393819,41917,1000291,0
1,83,10000000,595445351902,595445390194,38292,1000792,0
1,84,10000000,595455351902,595455386777,34875,1000500,0
1,85,10000000,595465351902,595465395444,43542,1000583,0
1,86,10000000,595475351902,595475384944,33042,1001375,0
1,87,10000000,595485351902,595485388652,36750,1000583,0
1,88,10000000,595495351902,595495391569,39667,1001167,0
1,89,10000000,595505351902,595505393319,41417,1000625,0
1,90,10000000,595515351902,595515387944,36042,1000291,0
1,91,10000000,595525351902,595525379194,27292,1000625,0
1,92,10000000,595535351902,595535391319,39417,1000875,0
1,93,10000000,595545351902,595545397694,45792,1000959,0
1,94,10000000,595555351902,595555389069,37167,1000083,0
1,95,10000000,595565351902,595565396194,44292,1000584,0
1,96,10000000,595575351902,595575391986,40084,1001125,0
1,97,10000000,595585351902,595585393903,42001,1000625,0
1,98,10000000,595595351902,595595392403,40501,1000584,0
1,99,10000000,595605351902,595605392486,40584,1000667,0
1,100,10000000,595615351902,595615384111,32209,1000875,0
